Product Desc,Qty,Total Cost,Total Cost %,Total Profit,Total Profit %,Branch,Service Type,Category,Section,RevenueFixed,ProfitMargin
ADD MATCHA LARGE,3.0,139.62,74.99,46.57,25.01,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,186.19,0.2501208442988345
ADD MATCHA MEDIUM,1.0,37.23,68.88,16.82,31.12,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,54.05,0.3111933395004626
ADD MATCHA SMALL,4.0,111.7,61.99,68.48,38.01,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,180.18,0.3800643800643801
ADD MOCHA LARGE,42.0,830.94,57.92,603.81,42.08,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,1434.75,0.42084683742812334
ADD MOCHA MEDIUM,70.0,1038.67,43.77,1334.6,56.23,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,2373.27,0.5623464671107796
ADD MOCHA SMALL,25.0,247.3,39.74,374.95,60.26,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,622.25,0.6025713137806348
ADD RASPBERRY SAUCE LARGE,26.0,819.66,46.93,927.0,53.07,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,1746.6599999999999,0.5307272165160937
ADD RASPBERRY SAUCE MEDIUM,69.0,1087.63,47.22,1215.7,52.78,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,2303.33,0.5278010532576748
ADD RASPBERRY SAUCE SMALL,61.0,961.53,47.29,1071.81,52.71,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,2033.34,0.5271179438755939
ADD SHOT,6260.5,55471.16,30.56,126058.96,69.44,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,181530.12,0.6944244844877534
ADD SKIMMED MILK,4.0,13.43,0.0,-13.43,100.0,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,COLD BAR SECTION,0.0,
ADD TOFFEE NUT MEDIUM,6.0,95.77,47.88,104.26,52.12,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,200.03,0.5212218167274909
ADD TOFFEE NUT SMALL,5.0,59.86,49.83,60.26,50.17,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,120.12,0.5016650016650016
ADD VANILLA LARGE,405.0,4641.21,34.22,8920.95,65.78,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,13562.16,0.6577823886460564
ADD VANILLA MEDIUM,1041.0,8133.85,23.66,26245.86,76.34,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,34379.71,0.7634113260408538
ADD VANILLA SF LARGE,403.0,5819.05,43.2,7650.35,56.8,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,13469.400000000001,0.567980013957563
ADD VANILLA SF MEDIUM,1243.0,12237.33,30.08,28448.43,69.92,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,40685.76,0.6992232663221727
ADD VANILLA SF SMALL,935.0,6136.72,19.83,24814.46,80.17,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,30951.18,0.8017290455485057
ADD VANILLA SMALL,464.0,2416.97,18.24,10833.78,81.76,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,13250.75,0.8175974944814445
ADD WHIPPED CREAM,661.0,5856.79,25.52,17094.29,74.48,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,22951.08,0.7448141873933601
ADD WHITE MOCHA LARGE,225.0,1933.2,25.63,5610.4,74.37,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,7543.599999999999,0.7437297841879209
ADD WHITE MOCHA MEDIUM,943.0,6076.69,19.68,24802.02,80.32,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,30878.71,0.803207776490663
ADD WHITE MOCHA SMALL,1312.0,5636.35,25.37,16583.38,74.63,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,22219.730000000003,0.7463358015601449
ADD YIRGACHEFFE SHOT,297.0,2835.36,28.39,7151.04,71.61,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,9986.4,0.7160778658976208
BLUE NADE,278.0,18711.72,25.14,55730.32,74.86,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,74442.04000000001,0.7486404187741227
CARAMEL CREAM  FRAPP LARGE,47.0,3015.88,20.38,11785.11,79.62,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,14800.990000000002,0.7962379543530533
CARAMEL CREAM  FRAPP MEDIUM,231.0,9814.53,15.62,53008.9,84.38,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,62823.43,0.8437759606567168
CARAMEL CREAM FRAPP SMALL,292.0,9491.94,14.23,57210.49,85.77,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,66702.43,0.8576972383165051
CARAMEL FRAPP LARGE,593.0,42481.32,22.01,150532.49,77.99,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,193013.81,0.779905282425128
CARAMEL FRAPP MEDIUM,1667.0,118382.42,25.8,340473.43,74.2,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,458855.85,0.7420052070819191
CARAMEL FRAPP SMALL,1184.0,66746.01,24.05,210829.7,75.95,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,277575.71,0.7595394424101446
CHOCOLATE CREAM FRAP SMALL,226.0,11676.44,23.36,38314.4,76.64,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,49990.840000000004,0.7664284096846542
CHOCOLATE CREAM FRAPP LARGE,42.0,2987.61,25.38,8781.73,74.62,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,11769.34,0.7461531402780445
CHOCOLATE CREAM FRAPP MEDIUM,311.0,21406.95,25.31,63170.59,74.69,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,84577.54,0.7468955706207582
COFFEE FRAPP LARGE,115.0,6953.85,22.57,23855.28,77.43,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,30809.129999999997,0.7742925554859874
COFFEE FRAPPE MEDIUM,157.0,9132.28,25.13,27211.17,74.87,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,36343.45,0.7487228097497624
COFFEE FRAPPE SMALL,164.0,7840.52,24.73,23868.49,75.27,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,31709.010000000002,0.7527352635733503
COLD BREW BOTTLE,325.0,13859.25,30.51,31567.18,69.49,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,45426.43,0.6949077882633524
DOUBLE SHOT SHAKEN LARGE,143.0,10472.34,26.32,29313.24,73.68,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,39785.58,0.7367805119342234
DOUBLE SHOT SHAKEN MEDIUM,815.0,41774.91,21.37,153728.48,78.63,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,195503.39,0.7863213011293564
DOUBLE SHOT SHAKEN SMALL,990.0,31661.6,23.67,102106.33,76.33,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,133767.93,0.7633094868104785
ESPRESSO FRAPP LARGE,93.0,6447.57,25.9,18445.64,74.1,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,24893.21,0.7409908163712112
ESPRESSO FRAPP MEDIUM,440.0,24707.6,24.23,77262.22,75.77,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,101969.82,0.7576969342497613
ESPRESSO FRAPP SMALL,314.0,14379.42,24.63,44001.48,75.37,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,58380.9,0.753696500053956
HAZELNUT FRAPP LARGE,5.0,351.57,24.92,1059.24,75.08,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,1410.81,0.7508027303463968
HAZELNUT FRAPP MEDIUM,38.0,2584.47,25.34,7615.89,74.66,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,10200.36,0.7466295307224451
HAZELNUT FRAPP SMALL,12.0,652.46,22.98,2186.22,77.02,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,2838.68,0.7701537334253948
ICED AMERICANO LARGE,86.0,4228.11,18.14,19085.93,81.86,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,23314.04,0.8186453313110897
ICED AMERICANO MEDIUM,277.0,9828.61,15.09,55302.54,84.91,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,65131.15,0.8490950950505249
ICED AMERICANO SMALL,275.0,6074.54,11.88,45047.5,88.12,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,51122.04,0.8811757120803473
ICED CARAMEL MACCHIATO LARGE,285.0,16627.27,18.35,73982.31,81.65,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,90609.58,0.8164954522468816
ICED CARAMEL MACCHIATO MEDIUM,1273.0,64606.37,18.46,285339.34,81.54,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,349945.71,0.8153817344981883
ICED CARAMEL MACCHIATO SMALL,606.0,19504.63,13.67,123167.98,86.33,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,142672.61,0.8632909988819859
ICED CLASSIC CHOC LARGE,8.0,488.18,19.36,2033.44,80.64,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,2521.62,0.8064022334848233
ICED CLASSIC CHOC MEDIUM,41.0,1866.28,16.77,9263.57,83.23,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,11129.85,0.8323175963737157
ICED CLASSIC CHOC SMALL,30.0,1161.65,16.62,5829.16,83.38,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,6990.8099999999995,0.8338318449507283
ICED DOUBLE SHOT TOFFEE NUT MEDIUM,3.0,211.5,26.43,588.74,73.57,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,800.24,0.735704288713386
ICED DOUBLE SHOT TOFFEE NUT SMALL,6.0,283.41,19.84,1145.01,80.16,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,1428.42,0.8015919687486873
ICED LATTE LARGE,487.0,23011.76,16.9,113135.75,83.1,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,136147.51,0.8309792077725108
ICED LATTE MEDIUM,2048.0,83965.16,17.28,401865.62,82.72,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,485830.78,0.8271720042110134
ICED LATTE SMALL,1404.0,34608.42,16.49,175288.7,83.51,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,209897.12,0.8351172231424615
ICED LEMON TEA  MEDIUM,2.0,57.87,10.85,475.46,89.15,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,533.3299999999999,0.891493071831699
ICED LEMON TEA  SMALL,6.0,121.58,8.68,1278.42,91.32,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,1400.0,0.9131571428571429
ICED MATCHA LATTE LARGE,535.0,42852.74,28.17,109275.91,71.83,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,152128.65,0.7183124940634128
ICED MATCHA LATTE MEDIUM,1198.0,77315.46,26.67,212623.3,73.33,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,289938.76,0.7333386539971406
ICED MATCHA LATTE SMALL,685.0,31323.08,22.8,106052.06,77.2,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,137375.14,0.771988731003295
ICED MOCHA LARGE,53.0,3339.47,20.16,13222.67,79.84,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,16562.14,0.7983672399822729
ICED MOCHA MEDIUM,266.0,14049.1,19.36,58504.54,80.64,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,72553.64,0.8063625753304727
ICED MOCHA SMALL,262.0,8522.4,19.72,34696.25,80.28,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,43218.65,0.8028073528442004
ICED PEACH TEA  MEDIUM,148.0,7039.62,19.47,29121.34,80.53,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,36160.96,0.8053254117147333
ICED PEACH TEA  SMALL,246.0,8714.42,33.29,17459.07,66.71,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,26173.489999999998,0.6670516618150656
ICED PEACH TEA LARGE,51.0,3124.12,22.11,11003.18,77.89,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,14127.3,0.7788593715713548
ICED SALTED CARAMEL LATTE LARGE,47.0,3460.68,21.9,12339.02,78.1,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,15799.7,0.7809654613695197
ICED SALTED CARAMEL LATTE MEDIUM,221.0,13664.17,22.08,48214.62,77.92,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,61878.79,0.7791784551701804
ICED SALTED CARAMEL LATTE SMALL,110.0,4362.1,17.24,20944.03,82.76,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,25306.129999999997,0.8276267449823422
ICED SPANISH LATTE MEDIUM,977.0,54450.07,18.54,239262.58,81.46,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,293712.64999999997,0.8146144880038364
ICED SPANISH LATTE SMALL,510.0,17965.98,14.74,103937.57,85.26,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,121903.55,0.8526213551615192
ICED TOFFEE NUT LATTE LARGE,14.0,1089.97,23.35,3577.3,76.65,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,4667.27,0.7664651927143704
ICED TOFFEE NUT LATTE MEDIUM,86.0,5728.76,24.79,17381.87,75.21,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,23110.629999999997,0.7521158012568243
ICED TOFFEE NUT LATTE SMALL,29.0,1313.02,19.04,5583.19,80.96,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,6896.209999999999,0.8096026658120911
ICED WHITE MOCHA LARGE,386.0,20001.2,16.84,98748.17,83.16,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,118749.37,0.8315679485289059
ICED WHITE MOCHA MEDIUM,1512.0,67166.05,16.33,344089.69,83.67,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,411255.74,0.8366805773944943
ICED WHITE MOCHA SMALL,987.0,26582.0,13.38,172088.81,86.62,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,198670.81,0.8662007770542638
MATCHA CREAM  FRAPP SMALL,124.0,6431.31,26.36,17969.05,73.64,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,24400.36,0.7364256101139491
MATCHA CREAM FRAPP LARGE,85.0,6417.86,24.55,19724.72,75.45,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,26142.58,0.7545054849215341
MATCHA CREAM FRAPP MEDIUM,180.0,12338.89,25.94,35229.52,74.06,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,47568.409999999996,0.7406074745823962
MOCHA FRAPP LARGE,210.0,15814.34,24.93,47619.44,75.07,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,63433.78,0.7506952920037242
MOCHA FRAPP MEDIUM,549.0,40080.04,26.83,109308.67,73.17,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,149388.71,0.7317063652266628
MOCHA FRAPP SMALL,260.0,15002.05,26.59,41417.11,73.41,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,56419.16,0.7340965374174305
NO WHIPPED CREAM,123.0,-1089.84,0.0,1089.84,100.0,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,0.0,
REPLACE 1 SHOT YIRGACHEFFE,1852.0,3480.83,2.86,118328.66,97.14,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,121809.49,0.9714239834679548
REPLACE 2 SHOT YIRGACHEFFE,1550.0,5826.45,5.75,95469.35,94.25,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,101295.8,0.9424808333613043
REPLACE 3 SHOT YIRGACHEFFE,249.0,1403.99,8.54,15037.51,91.46,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,16441.5,0.914606939756105
REPLACE ALMOND LARGE,153.0,8558.44,37.87,14041.86,62.13,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,22600.300000000003,0.6213129914204678
REPLACE ALMOND MEDIUM,501.0,21796.98,35.88,38945.48,64.12,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,60742.46000000001,0.6411574374827756
REPLACE ALMOND SMALL,357.0,11094.27,32.52,23018.5,67.48,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,34112.770000000004,0.674776630569725
REPLACE COCONUT LARGE,158.0,9125.19,56.29,7086.5,43.71,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,16211.69,0.43712284160380566
REPLACE COCONUT MEDIUM,537.0,24122.07,45.82,28528.6,54.18,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,52650.67,0.5418468558899631
REPLACE COCONUT SMALL,464.0,14887.79,34.31,28502.14,65.69,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,43389.93,0.6568837515985851
REPLACE LACTOSE FREE LARGE,417.0,6997.78,0.0,-6997.78,100.0,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,0.0,
REPLACE LACTOSE FREE MEDIUM,2217.0,28936.47,0.0,-28936.47,100.0,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,0.0,
REPLACE LACTOSE FREE SMALL,2013.0,18767.03,0.0,-18767.03,100.0,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,0.0,
REPLACE SKIMMED MILK LARGE,640.0,0.0,0.0,0.0,100.0,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,0.0,
REPLACE SKIMMED MILK MEDIUM,2582.0,0.0,0.0,0.0,100.0,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,0.0,
REPLACE SKIMMED MILK SMALL,1848.0,0.0,0.0,0.0,100.0,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,0.0,
REPLACE SUGAR FREE ALMOND LARGE,51.0,2829.99,33.48,5621.66,66.52,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,8451.65,0.6651553246999107
REPLACE SUGAR FREE ALMOND MEDIUM,161.0,5955.93,27.33,15839.87,72.67,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,21795.800000000003,0.726739555327173
REPLACE SUGAR FREE ALMOND SMALL,134.0,4130.92,30.47,9424.57,69.53,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,13555.49,0.6952585262502499
REPLACE SUGAR FREE OAT LARGE,43.0,2164.78,30.04,5042.73,69.96,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,7207.51,0.6996493934798563
REPLACE SUGAR FREE OAT MEDIUM,175.0,5873.44,25.27,17371.61,74.73,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,23245.05,0.7473251294361596
REPLACE SUGAR FREE OAT SMALL,136.0,3803.75,29.19,9226.61,70.81,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,13030.36,0.7080855786025866
REPLACE SUGAR FREE SOYA LARGE,12.0,563.85,27.38,1495.46,72.62,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,2059.31,0.7261946962817644
REPLACE SUGAR FREE SOYA MEDIUM,43.0,1346.97,22.75,4573.27,77.25,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,5920.240000000001,0.7724805075469913
REPLACE SUGAR FREE SOYA SMALL,52.0,1357.42,25.94,3876.01,74.06,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,5233.43,0.7406251731655912
SALTED CARAMEL CREAM FRAPPE LARGE,13.0,1169.9,28.19,2980.55,71.81,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,4150.450000000001,0.7181269500897492
SALTED CARAMEL CREAM FRAPPE MEDIUM,54.0,4239.56,27.01,11455.25,72.99,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,15694.810000000001,0.7298750351230756
SALTED CARAMEL CREAM FRAPPE SMALL,18.0,1127.24,24.96,3389.39,75.04,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,4516.63,0.7504245421918554
SALTED CARAMEL FRAPPE LARGE,59.0,6355.07,32.24,13355.14,67.76,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,19710.21,0.6775747188893472
SALTED CARAMEL FRAPPE MEDIUM,117.0,11259.07,33.56,22294.09,66.44,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,33553.16,0.6644408455120173
SALTED CARAMEL FRAPPE SMALL,59.0,4217.63,29.39,10134.6,70.61,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,14352.23,0.7061341686971293
SIGNATURE ICED CHOCOLATE LARGE,2.0,210.77,34.07,407.85,65.93,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,618.62,0.6592900326533252
SIGNATURE ICED CHOCOLATE MEDIUM,9.0,785.84,31.6,1700.65,68.4,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,2486.4900000000002,0.6839560987576865
SIGNATURE ICED CHOCOLATE SMALL,8.0,530.98,31.8,1138.69,68.2,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,1669.67,0.6819850629166242
STRAWBERRY CREAM FRAPP LARGE,109.0,8035.95,24.63,24584.71,75.37,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,32620.66,0.753654585774782
STRAWBERRY CREAM FRAPP MEDIUM,399.0,28497.95,26.12,80593.46,73.88,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,109091.41,0.7387699911477906
STRAWBERRY CREAM FRAPP SMALL,498.0,26667.85,24.27,83205.94,75.73,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,109873.79000000001,0.7572865193782794
STRAWBERRY DRIZZLE TOPPING,41.0,309.01,22.8,1046.12,77.2,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,1355.1299999999999,0.7719702168795614
STRAWBERRY SHAKE,2.0,302.39,45.77,358.27,54.23,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,660.66,0.5422910422910423
TOFFEENUT CREAM  FRAP LARGE,2.0,149.48,21.35,550.52,78.65,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,700.0,0.7864571428571429
TOFFEENUT CREAM  FRAP MEDIUM,6.0,404.71,22.86,1365.53,77.14,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,1770.24,0.7713812816341287
TOFFEENUT CREAM  FRAP SMALL,4.0,200.97,18.78,869.29,81.22,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,1070.26,0.8122231981013959
TOFFEENUT FRAP LARGE,12.0,986.53,23.67,3181.04,76.33,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,4167.57,0.7632841200027835
TOFFEENUT FRAP MEDIUM,32.0,2397.5,26.14,6775.04,73.86,Stories - Bir Hasan,TAKE AWAY,BEVERAGES,22-Jan-26,9172.54,0.7386220174564515
