Description,Qty,Total Amount,Group,Division,Branch
CARAMEL MACCHIATO LARGE,115.0,36413.12,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
MATCHA LATTE SMALL,299.0,58144.38,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
MATCHA LATTE MEDIUM,471.0,111569.05,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
MATCHA LATTE LARGE,101.0,28462.82,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
FLAT WHITE,2179.0,283608.31,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
HOT DOUBLE SHOT SMALL,335.0,69481.29,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
HOT DOUBLE SHOT MEDIUM,185.0,50738.26,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
HOT DOUBLE SHOT LARGE,44.0,15241.14,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
TOFFEE NUT LATTE MEDIUM,319.0,86903.42,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
TOFFEE NUT LATTE SMALL,294.0,69249.85,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
CLASSIC HOT CHOC SMALL,108.0,23802.17,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
CLASSIC HOT CHOC MEDIUM,107.0,28729.95,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
HOT DOUBLE SHOT TOFFEE NUT SMALL,5.0,1375.38,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
HOT DOUBLE SHOT TOFFEE NUT MEDIUM,3.0,924.32,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
CLASSIC HOT CHOC LARGE,26.0,8287.96,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
SPANISH LATTE SMALL,768.0,174998.26,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
SPANISH LATTE MEDIUM,578.0,176355.72,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
SALTED CARAMEL LATTE SMALL,144.0,34067.75,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
SALTED CARAMEL LATTE MEDIUM,221.0,62348.23,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
SALTED CARAMEL LATTE LARGE,32.0,11130.93,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
SIGNATURE HOT CHOCOLATE LARGE,106.0,33558.38,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
TOFFEE NUT LATTE LARGE,43.0,15054.95,MIXED HOT BEVERAGE,HOT BAR SECTION,Stories - Bir Hasan
ENGLISH BREAKFAST TEA MEDIUM,166.0,23935.89,TEA,HOT BAR SECTION,Stories - Bir Hasan
EARL GREY LAVENDER TEA MEDIUM,72.0,10251.35,TEA,HOT BAR SECTION,Stories - Bir Hasan
ORGANIC GREEN TEA MEDIUM,94.0,13557.06,TEA,HOT BAR SECTION,Stories - Bir Hasan
SOUTHERN MINT HERBAL TEA MEDIUM,56.0,8577.03,TEA,HOT BAR SECTION,Stories - Bir Hasan
ADD ENGLISH BREAKFAST TEA BAG,8.0,292.79,TEA,HOT BAR SECTION,Stories - Bir Hasan
ADD EARL GREY LAVENDER  BAG,12.0,426.13,TEA,HOT BAR SECTION,Stories - Bir Hasan
ADD GREEN TEA BAG,6.0,200.0,TEA,HOT BAR SECTION,Stories - Bir Hasan
ADD SOUTHERN MINT HERBAL TEA BAG,9.0,300.0,TEA,HOT BAR SECTION,Stories - Bir Hasan
GOLDEN CHAMOMILE HERBAL TEA MEDIUM,62.0,9030.03,TEA,HOT BAR SECTION,Stories - Bir Hasan
SWEET GINGER PEACH BLACK TEA MEDIUM,68.0,10192.19,TEA,HOT BAR SECTION,Stories - Bir Hasan
ADD GOLDEN CHAMOMILE HERBAL TEA BAG,10.0,333.33,TEA,HOT BAR SECTION,Stories - Bir Hasan
ADD SWEET GINGER PEACH BLACK  TEA BAG,15.0,517.42,TEA,HOT BAR SECTION,Stories - Bir Hasan
BOMBAY CHAI BLACK TEA MEDIUM,41.0,6000.0,TEA,HOT BAR SECTION,Stories - Bir Hasan
ADD BOMBAY CHAI TEA BAG,6.0,200.0,TEA,HOT BAR SECTION,Stories - Bir Hasan
MEDITERRANEAN CARAMEL TEA MEDIUM,20.0,3358.86,TEA,HOT BAR SECTION,Stories - Bir Hasan
LEMONGRASS&ORANGE TEA MEDIUM,16.0,2354.35,TEA,HOT BAR SECTION,Stories - Bir Hasan
ADD MEDITERRANEAN CARAMEL TEA BAG,1.0,33.33,TEA,HOT BAR SECTION,Stories - Bir Hasan
ADD LEMONGRASS&ORANGE TEA BAG,2.0,84.08,TEA,HOT BAR SECTION,Stories - Bir Hasan
YIRGACHEFFE BEANS 250G,22.0,13939.94,BEANS,HOT BAR SECTION,Stories - Bir Hasan
HOUSE BLEND BEANS 250G,45.125,23214.41,BEANS,HOT BAR SECTION,Stories - Bir Hasan
ICED AMERICANO SMALL,329.0,60657.16,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED AMERICANO MEDIUM,348.0,81989.2,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED LATTE SMALL,1888.0,295020.42,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED LATTE MEDIUM,2605.0,621121.77,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED MOCHA SMALL,338.0,54684.68,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED MOCHA MEDIUM,339.0,92755.56,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED WHITE MOCHA SMALL,1249.0,256086.85,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED WHITE MOCHA MEDIUM,1888.0,515809.13,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED AMERICANO LARGE,123.0,33878.61,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED LATTE LARGE,708.0,199489.73,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED MOCHA LARGE,69.0,21593.96,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED WHITE MOCHA LARGE,501.0,155063.09,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
DOUBLE SHOT SHAKEN MEDIUM,1013.0,243831.81,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
DOUBLE SHOT SHAKEN LARGE,193.0,54185.35,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED MATCHA LATTE SMALL,953.0,192352.97,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED MATCHA LATTE MEDIUM,1651.0,402051.29,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED MATCHA LATTE LARGE,775.0,221634.24,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
DOUBLE SHOT SHAKEN SMALL,1286.0,166815.62,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED CARAMEL MACCHIATO SMALL,791.0,187752.28,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED CARAMEL MACCHIATO MEDIUM,1642.0,454097.9,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED CARAMEL MACCHIATO LARGE,417.0,133285.62,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED TOFFEE NUT LATTE SMALL,31.0,7376.7,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED TOFFEE NUT LATTE MEDIUM,96.0,25806.13,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED CLASSIC CHOC MEDIUM,54.0,14766.13,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED CLASSIC CHOC SMALL,37.0,8665.59,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
BLUE NADE,332.0,89044.32,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED DOUBLE SHOT TOFFEE NUT SMALL,6.0,1428.42,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED DOUBLE SHOT TOFFEE NUT MEDIUM,3.0,800.24,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
SIGNATURE ICED CHOCOLATE SMALL,9.0,1921.92,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
SIGNATURE ICED CHOCOLATE MEDIUM,12.0,3360.36,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED TOFFEE NUT LATTE LARGE,16.0,5267.87,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED CLASSIC CHOC LARGE,10.0,3145.95,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
SIGNATURE ICED CHOCOLATE LARGE,3.0,912.91,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED SPANISH LATTE SMALL,662.0,158023.48,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED SPANISH LATTE MEDIUM,1249.0,377626.18,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED SALTED CARAMEL LATTE SMALL,173.0,40807.87,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED SALTED CARAMEL LATTE MEDIUM,326.0,91862.82,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
ICED SALTED CARAMEL LATTE LARGE,78.0,26349.25,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
COLD BREW BOTTLE,436.0,59258.26,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories - Bir Hasan
COFFEE FRAPPE SMALL,225.0,43743.06,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
COFFEE FRAPPE MEDIUM,229.0,53259.07,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
CARAMEL FRAPP SMALL,1640.0,384807.72,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
CARAMEL FRAPP MEDIUM,2287.0,634455.14,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
CARAMEL FRAPP LARGE,846.0,276544.61,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
COFFEE FRAPP LARGE,181.0,48653.69,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
MOCHA FRAPP SMALL,375.0,83627.09,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
MOCHA FRAPP MEDIUM,725.0,197497.3,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
MOCHA FRAPP LARGE,303.0,91741.29,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
ESPRESSO FRAPP SMALL,420.0,78662.16,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
ESPRESSO FRAPP MEDIUM,618.0,143655.98,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
ESPRESSO FRAPP LARGE,130.0,34910.99,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
VANILLA CREAM FRAPP SMALL,147.0,32336.64,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
VANILLA CREAM FRAPP MEDIUM,140.0,36749.19,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
VANILLA CREAM FRAPP LARGE,42.0,12720.84,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
WHITE MOCHA FRAPP SMALL,268.0,61754.5,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
WHITE MOCHA FRAPP MEDIUM,413.0,110217.3,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
WHITE MOCHA FRAPP LARGE,165.0,50469.37,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
WHITE MOCHA CREAM FRAPP SMALL,38.0,8269.04,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
WHITE MOCHA CREAM FRAPP MEDIUM,71.0,18906.31,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
CHOCOLATE CREAM FRAPP MEDIUM,396.0,108678.32,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
CHOCOLATE CREAM FRAPP LARGE,53.0,14921.86,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
WHITE MOCHA CREAM FRAPP LARGE,33.0,10013.84,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
CHOCOLATE CREAM FRAP SMALL,283.0,63877.45,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
CARAMEL CREAM  FRAPP MEDIUM,305.0,83562.52,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
CARAMEL CREAM  FRAPP LARGE,53.0,16764.29,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
CARAMEL CREAM FRAPP SMALL,391.0,89490.9,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
MATCHA CREAM  FRAPP SMALL,160.0,33093.81,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
MATCHA CREAM FRAPP MEDIUM,248.0,65878.44,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
MATCHA CREAM FRAPP LARGE,130.0,40027.6,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
STRAWBERRY CREAM FRAPP SMALL,674.0,150796.07,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
STRAWBERRY CREAM FRAPP MEDIUM,512.0,140754.23,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
STRAWBERRY CREAM FRAPP LARGE,144.0,43479.88,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
VANILLA FRAP SMALL,113.0,26294.35,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
VANILLA FRAPP MEDIUM,129.0,34279.64,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
VANILLA FRAPP LARGE,14.0,4231.65,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
HAZELNUT FRAPP SMALL,25.0,6027.15,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
HAZELNUT FRAPP MEDIUM,54.0,14554.96,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
HAZELNUT FRAPP LARGE,5.0,1410.81,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
TOFFEENUT FRAP SMALL,12.0,3047.2,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
TOFFEENUT FRAP MEDIUM,36.0,10334.7,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
TOFFEENUT CREAM  FRAP SMALL,4.0,1070.26,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
TOFFEENUT CREAM  FRAP MEDIUM,10.0,2905.37,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
TOFFEENUT CREAM  FRAP LARGE,2.0,700.0,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
TOFFEENUT FRAP LARGE,12.0,4167.57,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
SALTED CARAMEL FRAPPE SMALL,73.0,18120.67,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
SALTED CARAMEL CREAM FRAPPE SMALL,26.0,6635.79,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
SALTED CARAMEL CREAM FRAPPE MEDIUM,66.0,19179.64,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
SALTED CARAMEL CREAM FRAPPE LARGE,23.0,7453.75,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
SALTED CARAMEL FRAPPE MEDIUM,170.0,49231.14,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
SALTED CARAMEL FRAPPE LARGE,108.0,36028.53,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
STRAWBERRY SHAKE,3.0,990.99,BLENDED BRINKS,HOT BAR SECTION,Stories - Bir Hasan
ICED PEACH TEA  SMALL,314.0,31801.23,ICE TEA,HOT BAR SECTION,Stories - Bir Hasan
ICED PEACH TEA  MEDIUM,177.0,43202.4,ICE TEA,HOT BAR SECTION,Stories - Bir Hasan
ICED LEMON TEA  SMALL,6.0,1400.0,ICE TEA,HOT BAR SECTION,Stories - Bir Hasan
ICED LEMON TEA  MEDIUM,2.0,533.33,ICE TEA,HOT BAR SECTION,Stories - Bir Hasan
ICED PEACH TEA LARGE,78.0,21673.51,ICE TEA,HOT BAR SECTION,Stories - Bir Hasan
ADD CARAMEL SMALL,653.0,14660.36,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD VANILLA SMALL,547.0,15523.84,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD HAZELNUT SMALL,309.5,9922.94,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD CARAMEL MEDIUM,1438.0,47414.51,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD VANILLA MEDIUM,1382.0,45809.01,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD HAZELNUT MEDIUM,391.0,12891.2,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD SHOT,8074.5,238823.39,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD WHIPPED CREAM,945.0,32782.52,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD MOCHA SMALL,32.0,695.59,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD WHITE MOCHA SMALL,1654.0,26646.94,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD CARAMEL DRIZZLE,939.0,31348.02,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD CHOCOLATE DRIZZLE,299.0,10161.11,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD CARAMEL LARGE,477.0,15990.03,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD VANILLA LARGE,583.0,19528.95,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD HAZELNUT LARGE,129.0,4395.14,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD CARAMEL SF MEDIUM,1113.0,37294.2,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD CARAMEL SF LARGE,361.0,12098.5,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD VANILLA SF SMALL,1362.0,45294.36,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD VANILLA SF MEDIUM,1624.0,53374.42,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD VANILLA SF LARGE,575.0,19318.14,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD CARAMEL SF SMALL,1184.0,39863.36,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD YIRGACHEFFE SHOT,372.0,12602.58,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
REPLACE 1 SHOT YIRGACHEFFE,2017.0,132464.38,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
REPLACE 2 SHOT YIRGACHEFFE,1843.0,120424.44,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
REPLACE 3 SHOT YIRGACHEFFE,300.0,19814.53,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
NO WHIPPED CREAM,147.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD WHITE MOCHA MEDIUM,1155.0,37790.81,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD WHITE MOCHA LARGE,305.0,10247.69,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
1 SHOT DECAFE,523.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
2 SHOT DECAFE,765.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
3 SHOT DECAFE,140.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD MOCHA LARGE,64.0,2188.14,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD MOCHA MEDIUM,101.0,3425.8,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
STRAWBERRY DRIZZLE TOPPING,49.0,1610.69,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD TOFFEE NUT SMALL,5.0,120.12,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD TOFFEE NUT MEDIUM,6.0,200.03,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD BANANA SAUCE SMALL,31.0,983.81,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD BANANA SAUCE MEDIUM,51.0,1613.81,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD BANANA SAUCE LARGE,6.0,393.39,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD RASPBERRY SAUCE SMALL,61.0,2033.33,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD RASPBERRY SAUCE MEDIUM,69.0,2303.33,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD RASPBERRY SAUCE LARGE,26.0,1746.67,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD MATCHA SMALL,5.0,225.23,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD MATCHA MEDIUM,1.0,54.05,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
ADD MATCHA LARGE,3.0,186.19,ADD SYRUP,HOT BAR SECTION,Stories - Bir Hasan
REPLACE ALMOND SMALL,453.0,43617.64,REPLACE,HOT BAR SECTION,Stories - Bir Hasan
REPLACE ALMOND MEDIUM,632.0,78077.59,REPLACE,HOT BAR SECTION,Stories - Bir Hasan
REPLACE COCONUT SMALL,584.0,55127.46,REPLACE,HOT BAR SECTION,Stories - Bir Hasan
REPLACE COCONUT MEDIUM,681.0,67769.68,REPLACE,HOT BAR SECTION,Stories - Bir Hasan
REPLACE SKIMMED MILK SMALL,2445.0,0.0,REPLACE,HOT BAR SECTION,Stories - Bir Hasan
REPLACE SKIMMED MILK MEDIUM,3421.0,0.0,REPLACE,HOT BAR SECTION,Stories - Bir Hasan
REPLACE LACTOSE FREE SMALL,2697.0,0.0,REPLACE,HOT BAR SECTION,Stories - Bir Hasan
REPLACE LACTOSE FREE MEDIUM,3069.0,0.0,REPLACE,HOT BAR SECTION,Stories - Bir Hasan
REPLACE SUGAR FREE OAT MEDIUM,234.0,31192.07,REPLACE,HOT BAR SECTION,Stories - Bir Hasan
REPLACE SUGAR FREE OAT SMALL,174.0,16846.67,REPLACE,HOT BAR SECTION,Stories - Bir Hasan
REPLACE SUGAR FREE SOYA SMALL,65.0,6568.02,REPLACE,HOT BAR SECTION,Stories - Bir Hasan
REPLACE SUGAR FREE SOYA MEDIUM,56.0,7646.73,REPLACE,HOT BAR SECTION,Stories - Bir Hasan
REPLACE SUGAR FREE ALMOND SMALL,178.0,18034.32,REPLACE,HOT BAR SECTION,Stories - Bir Hasan
